title,urls,tags,description,renowned
Atlas Society,[https://www.atlassociety.org/],,"Objectivism is designed as a guide to life, and celebrates the remarkable potential and power of the individual.",yes
Bitcoin Bros,[https://www.instagram.com/bitcoin_bros26],,Digital currency podcasts,no
Mark Moss,[https://www.instagram.com/markmoss],,Crypto currency investing,no
New Atlas,[https://newatlas.com/],,,no
The Free Thought Project,[https://instagram.com/stories/thefreethoughtproject],,News Debunkers,no
The Venus Project,[https://instagram.com/thevenusproject],,,yes
