title,urls,tags,description,renowned
Christine Anderson,[https://christineanderson.eu/|https://www.instagram.com/christine._anderson],,Member of the European Parliament uncovering illegal activities.,yes
Deep Fake Quotes,[https://dfq.bar/],,Deep analysis of geo-politics and his-story.,no
House Inhabit,[https://jessicareedkraus.substack.com/],,"Pop culture, conspiracy theories, lifestyle highlights, and trending water cooler gossip",no
Nick J Freitas,[https://www.instagram.com/nickjfreitas],,,yes
Robert F. Kennedy JR,[https://www.kennedy24.com/|https://www.instagram.com/robertfkennedyjr],,Alternative USA presidency candidate uncovering corporate and elites illegal activities.,yes
Russell Brand,[https://instagram.com/russellbrand|https://www.instagram.com/russellbrand/|https://stayfreepodcastwithrussellbrand.podbean.com/|https://twitter.com/rustyrockets//|https://www.youtube.com/c/RussellBrand/videos],,Revolutionary politics and spiritual awakening,no
Rutger Bregman,[https://rutgerbregman.com/|https://www.instagram.com/rutger_bregman],,Historian,no
Tucker Carlson,[https://tuckercarlson.com/],,Brilliant journalist uncovering the truth.,yes
